cps_year,occupation,sub_occupation_1,sub_occupation_2,total_number_employed_white,number_employed_white_per_100,total_number_employed_black,number_employed_black_per_100,total_number_employed_asian,number_employed_asian_per_100,total_number_employed_hispanic,number_employed_hispanic_per_100,acs_year
2024,Service occupations,Building and grounds cleaning and maintenance occupations,Other grounds maintenance workers,,,,,,,,,2023
2024,Service occupations,Building and grounds cleaning and maintenance occupations,Pest control workers,81100.0,0.038458721268098704,13200.0,0.032139551882123814,0.0,0.0,22000.0,0.03484784772326893,2023
2024,Service occupations,Building and grounds cleaning and maintenance occupations,Tree trimmers and pruners,79210.0,0.03756245760352772,2403.0000000000005,0.005850859331268449,1869.0000000000002,0.009657587621421947,38537.0,0.061042341259618854,2023
2024,Service occupations,Building and grounds cleaning and maintenance occupations,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",247080.0,0.11716869113343807,20164.0,0.049095600314480646,4828.0,0.024947476209858294,97411.99999999999,0.15429993374632148,2023
2024,Service occupations,Building and grounds cleaning and maintenance occupations,Landscaping and groundskeeping workers,1009278.0,0.4786133327253283,115720.99999999999,0.2817591729811552,10737.000000000002,0.05548074814938868,573833.0,0.9089475001175719,2023
2024,Service occupations,Building and grounds cleaning and maintenance occupations,First-line supervisors of housekeeping and janitorial workers,281088.0,0.13329574653276607,62951.99999999999,0.15327644470329227,10980.0,0.05673638955763133,99918.00000000001,0.15826942040061753,2023
2024,Service occupations,Building and grounds cleaning and maintenance occupations,Maids and housekeeping cleaners,1078119.0,0.5112586697267731,214776.0,0.5229397268965927,64998.0,0.3358608240862405,741825.0,1.1750456653324535,2023
2024,Service occupations,Building and grounds cleaning and maintenance occupations,Janitors and building cleaners,1741823.9999999998,0.8259965932686159,384767.99999999994,0.9368387195894707,69120.0,0.3571602227890235,822528.0000000001,1.3028786587329524,2023
2024,Service occupations,Building and grounds cleaning and maintenance occupations,all,4535220.0,2.1506629083786266,813569.9999999999,1.9808920624802624,161559.99999999997,0.8348206827805935,2400320.0,3.80209026577804,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Reinforcing iron and rebar workers,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Rail-track laying and maintenance equipment operators,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Other extraction workers,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Boilermakers,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Underground mining machine operators,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Structural iron and steel workers,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Plasterers and stucco masons,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Septic tank servicers and sewer pipe cleaners,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,"Roustabouts, oil and gas",,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Elevator and escalator installers and repairers,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,"Explosives workers, ordnance handling experts, and blasters",,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,"Derrick, rotary drill, and service unit operators, oil and gas",,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Fence erectors,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Pipelayers,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Glaziers,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Insulation workers,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,"Earth drillers, except oil and gas",,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Hazardous materials removal workers,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Solar photovoltaic installers,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Miscellaneous construction and related workers,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,"Excavating and loading machine and dragline operators, surface mining",,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,"Cement masons, concrete finishers, and terrazzo workers",46205.99999999999,0.02191151263765436,1071.0,0.0026076863686177727,0.0,0.0,29579.999999999996,0.0468545152570134,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,"Helpers, construction trades",48454.99999999999,0.022978018977135913,3795.0000000000005,0.009240121166110598,0.0,0.0,24639.999999999996,0.0390295894500612,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Highway maintenance workers,57742.99999999999,0.02738251470017045,11242.0,0.02737218501960878,292.0,0.001508836589328629,10804.000000000002,0.01711346121828171,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,"Carpet, floor, and tile installers and finishers",110592.00000000001,0.052444228144039116,4864.0,0.01184293790565532,895.9999999999999,0.004629854739857712,75392.0,0.11942040616148596,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction equipment operators,347688.0,0.16487837090336255,34056.0,0.08292004385587944,1584.0,0.008184921772248454,78804.0,0.12482499054474931,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,"Brickmasons, blockmasons, and stonemasons",110336.0,0.05232282946777976,4480.0,0.0109079691236299,2176.0,0.011243932939654443,58623.99999999999,0.09286001022404171,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,"Drywall installers, ceiling tile installers, and tapers",112700.0,0.053443870368862195,7139.999999999999,0.01738457579078515,2520.0000000000005,0.013021466455849815,92119.99999999999,0.14591744237579699,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Roofers,210239.99999999997,0.099698662877991,13919.999999999998,0.033892618348421465,2880.0,0.014881675949542645,163680.0,0.25926798706112086,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Painters and paperhangers,461923.0,0.2190501591162017,41503.0,0.10105210770937761,3772.9999999999995,0.019496028943619577,339031.0,0.5370227573394359,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Sheet metal workers,123516.0,0.058572964440819726,12702.0,0.030927014242934592,4964.0,0.025650222018586695,30806.000000000004,0.04879649077104649,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction and building inspectors,89440.0,0.04241366251811034,6032.0,0.014686801284315973,6344.0,0.03278102507774255,16432.0,0.02602817426312523,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,First-line supervisors of construction trades and extraction workers,687456.0,0.32600097025995145,64943.99999999999,0.15812659526004913,12672.0,0.06547937417798763,213047.99999999997,0.3374665573521363,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Carpenters,1106335.0,0.5246390800757335,84414.0,0.2055324342861818,15348.0,0.07930693141443768,529506.0,0.83873383893442,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,"Plumbers, pipefitters, and steamfitters",536148.0,0.25424866202772606,64871.99999999999,0.15795128861341937,16536.0,0.08544562274362402,206700.0,0.3274113692908949,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Electricians,821376.0,0.3895076527781238,91264.0,0.2222109138613748,17856.000000000004,0.09226639088716442,259904.0,0.4116861370303858,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,Construction laborers,2008667.9999999998,0.952537641580139,146752.0,0.357313902864048,36688.0,0.1895760164016738,1235927.0,1.9576998133216637,2023
2024,"Natural resources, construction, and maintenance occupations",Construction and extraction occupations,all,7335720.0,3.478698036754834,639000.0,1.5558464888391754,127800.0,0.6603743702609548,3544320.0000000005,5.614178347388026,2023
2024,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Logging workers,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Animal breeders,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Agricultural inspectors,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Fishing and hunting workers,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Forest and conservation workers,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","First-line supervisors of farming, fishing, and forestry workers",52326.00000000001,0.024813699741979448,972.0000000000001,0.0023666397295018446,0.0,0.0,27000.0,0.04276781311492096,2023
2024,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Graders and sorters, agricultural products",40000.0,0.018968543165523405,6550.0,0.01594803521423568,2750.0,0.014209933632375788,35550.0,0.056310953934645934,2023
2024,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",Miscellaneous agricultural workers,673730.0,0.3194919146727021,30280.0,0.07372618416596281,11355.0,0.05867410778022804,349734.0,0.5539762352568063,2023
2024,"Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations",all,860390.0,0.408008621354617,44620.0,0.10864142461972456,15520.0,0.08019569817253536,428740.0,0.6791211924033783,2023
2024,Service occupations,Food preparation and serving related occupations,"Food preparation and serving related workers, all other",,,,,,,,,2023
2024,Service occupations,Food preparation and serving related occupations,Bartenders,377550.00000000006,0.17903933680358405,36899.99999999999,0.08984465639775518,9000.0,0.04650523734232077,96750.0,0.1532513303284668,2023
2024,Service occupations,Food preparation and serving related occupations,Dining room and cafeteria attendants and bartender helpers,206596.0,0.09797062859561184,41100.0,0.10007087745115824,10138.000000000002,0.05238556624182755,96448.00000000001,0.15277296441881102,2023
2024,Service occupations,Food preparation and serving related occupations,Dishwashers,192515.0,0.09129322718776846,50691.0,0.123423183670965,13296.0,0.06870373730038855,117725.0,0.18647558514644705,2023
2024,Service occupations,Food preparation and serving related occupations,"Food servers, nonrestaurant",156689.00000000003,0.07430405150156744,40222.0,0.0979331102880897,16575.0,0.08564714543877407,61216.99999999999,0.09696730427615245,2023
2024,Service occupations,Food preparation and serving related occupations,First-line supervisors of food preparation and serving workers,369845.99999999994,0.1753859953899042,78732.0,0.1916978180896494,17010.0,0.08789489857698624,103032.0,0.1632019748465384,2023
2024,Service occupations,Food preparation and serving related occupations,"Hosts and hostesses, restaurant, lounge, and coffee shop",236530.0,0.11216573787353128,38750.0,0.09434906329032558,17980.0,0.09290712971276971,70990.0,0.11244766863067553,2023
2024,Service occupations,Food preparation and serving related occupations,Fast food and counter workers,620757.0,0.29437139874502033,115509.00000000001,0.28124299229941213,43212.00000000001,0.22328714622626278,189468.0,0.30011600056510535,2023
2024,Service occupations,Food preparation and serving related occupations,Food preparation workers,659615.0,0.312798390003168,134250.0,0.3268738515284183,52805.0,0.2728565619845831,297140.0,0.4706677032950969,2023
2024,Service occupations,Food preparation and serving related occupations,Chefs and head cooks,294580.00000000006,0.13969383614249714,91155.0,0.2219455190768936,94245.0,0.4869873437030023,129265.0,0.20475486527037992,2023
2024,Service occupations,Food preparation and serving related occupations,Cooks,1429565.0,0.6779191352605367,328819.99999999994,0.8006157158999962,124310.0,0.6423406726693216,822050.0,1.3021215100415102,2023
2024,Service occupations,Food preparation and serving related occupations,Waiters and waitresses,1368075.9999999998,0.6487602164929149,169670.0,0.4131149824121172,132164.00000000003,0.682924243123387,491150.00000000006,0.7779782004219791,2023
2024,Service occupations,Food preparation and serving related occupations,all,5916774.000000001,2.805814575491165,1128540.0,2.7477855970493943,532026.0,2.7491106002539496,2474727.0,3.9199504387573705,2023
2024,Service occupations,Healthcare support occupations,Medical transcriptionists,,,,,,,,,2023
2024,Service occupations,Healthcare support occupations,Occupational therapy assistants and aides,,,,,,,,,2023
2024,Service occupations,Healthcare support occupations,Pharmacy aides,,,,,,,,,2023
2024,Service occupations,Healthcare support occupations,Veterinary assistants and laboratory animal caretakers,54746.0,0.025961296603493608,3968.0,0.00966134408092934,930.0,0.004805541192039812,16926.0,0.02681066684382045,2023
2024,Service occupations,Healthcare support occupations,Orderlies and psychiatric aides,43362.0,0.020562849218585647,19206.000000000004,0.04676304798849015,3036.0,0.01568776673014287,10823.999999999998,0.017145141079848315,2023
2024,Service occupations,Healthcare support occupations,Phlebotomists,64790.0,0.030724297792356536,33660.0,0.08195585729941572,3630.0,0.018757112394736042,20570.0,0.03258273762125645,2023
2024,Service occupations,Healthcare support occupations,Physical therapist assistants and aides,85734.0,0.040656226993824596,3564.0000000000005,0.00867767900817343,5940.0,0.030693456645931705,12078.0,0.019131468400074646,2023
2024,Service occupations,Healthcare support occupations,Massage therapists,138339.0,0.06560223232438356,10089.0,0.024564843858995992,16586.999999999996,0.08570915242189714,17613.0,0.02789887008863344,2023
2024,Service occupations,Healthcare support occupations,Dental assistants,223852.0,0.10615365811721864,27542.0,0.06705966196495863,22268.0,0.11506429168208876,89365.0,0.14155354144499674,2023
2024,Service occupations,Healthcare support occupations,Other healthcare support workers,138016.0,0.06544906133832196,53118.0,0.12933247855111005,22700.0,0.11729654307452014,31553.000000000004,0.04997973360055931,2023
2024,Service occupations,Healthcare support occupations,Medical assistants,451080.0,0.21390826127760743,132300.0,0.3221259631821955,29610.0,0.15300223085623532,200970.0,0.3183350889520617,2023
2024,Service occupations,Healthcare support occupations,Nursing assistants,744736.0,0.353163924072981,487364.00000000006,1.1866409517787417,72557.0,0.37492005620519636,214933.0,0.34045238430478914,2023
2024,Service occupations,Healthcare support occupations,Home health aides,337840.0,0.16020831557601067,207952.0,0.5063245524993493,76096.0,0.39320694897791564,188271.99999999997,0.29822154484342217,2023
2024,Service occupations,Healthcare support occupations,Personal care aides,978529.0000000001,0.4640317393804114,475094.99999999994,1.156768212230122,125025.0,0.6460352554137393,368407.0,0.5835541380084699,2023
2024,Service occupations,Healthcare support occupations,all,3333616.0,1.5808459748319867,1467663.9999999998,3.5734896419337385,387375.99999999994,2.0016680911909828,1194863.9999999998,1.892656305546182,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Electronic equipment installers and repairers, motor vehicles",,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Control and valve installers and repairers,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Electrical and electronics installers and repairers, transportation equipment",,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Commercial divers,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Automotive glass installers and repairers,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Wind turbine service technicians,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Locksmiths and safe repairers,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Coin, vending, and amusement machine servicers and repairers",,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Millwrights,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Small engine mechanics,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Electrical and electronics repairers, industrial and utility",,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Avionics technicians,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Manufactured building and mobile home installers,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Audiovisual equipment installers and repairers,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Riggers,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Electric motor, power tool, and related repairers",,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Helpers--installation, maintenance, and repair workers",,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Home appliance repairers,,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Maintenance workers, machinery",,,,,,,,,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Security and fire alarm systems installers,54740.0,0.02595845132201878,8540.0,0.020793316141919496,420.0,0.0021702444093083025,18829.999999999996,0.029826589664961538,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Heavy vehicle and mobile equipment service technicians and mechanics,180304.0,0.0855026051729133,6494.000000000001,0.015811685600190306,764.0,0.003947777925503673,25021.0,0.039633090812905086,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Electrical power-line installers and repairers,116197.0,0.05510219525510808,10480.0,0.025516856342777085,1310.0,0.006769095657604467,19126.0,0.030295451616147346,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",78958.0,0.03744295578158492,10767.0,0.026215648114759627,1649.0000000000002,0.008520792930831883,29585.0,0.04686243522240506,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Other installation, maintenance, and repair workers",185850.0,0.08813259368281312,34425.0,0.08381849041985698,1800.0,0.009301047468464153,65024.99999999999,0.10299914991843465,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Telecommunications line installers and repairers,103378.0,0.04902325138413697,19304.0,0.04700165981306955,2413.0,0.012468570856335556,34671.0,0.05491862401879351,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Precision instrument and equipment repairers,47850.0,0.022691119761757375,3025.0,0.007365313972986706,2640.0,0.013641536287080756,11385.0,0.018033761196791672,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Automotive body and related repairers,106880.0,0.05068394733827854,11776.0,0.028672375982112877,2816.0000000000005,0.014550972039552811,33664.0,0.05332354298891479,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Radio and telecommunications equipment installers and repairers,81100.0,0.038458721268098704,5400.000000000001,0.01314799849723247,6800.000000000001,0.03513729043642014,20000.0,0.03167986156660812,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Computer, automated teller, and office machine repairers",95625.0,0.04534667350507939,17124.999999999996,0.041696198937982584,7500.0,0.03875436445193397,16500.0,0.026135885792451703,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","First-line supervisors of mechanics, installers, and repairers",225760.0,0.10705845762621409,26383.999999999996,0.06424014673166323,7615.999999999999,0.039353765288790546,44607.99999999999,0.07065876323816274,2023
