cps_year,occupation,sub_occupation_1,sub_occupation_2,total_number_employed_white,number_employed_white_per_100,total_number_employed_black,number_employed_black_per_100,total_number_employed_asian,number_employed_asian_per_100,total_number_employed_hispanic,number_employed_hispanic_per_100,acs_year
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Bus and truck mechanics and diesel engine specialists,290580.0,0.13779698182594477,23380.000000000004,0.05692596386394355,7682.0,0.03969480369596757,69138.0,0.10951411344960761,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Industrial and refractory machinery mechanics,307725.0,0.14592737364026725,38046.0,0.09263495385661231,9698.0,0.050111976860647424,75346.0,0.11934754247988277,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Aircraft mechanics and service technicians,122607.99999999999,0.058142378510962336,15325.999999999998,0.03731596758677496,12166.0,0.0628647463896305,36024.0,0.05706176665377455,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Heating, air conditioning, and refrigeration mechanics and installers",417285.0,0.19788221337063588,44055.00000000001,0.10726575440658823,17820.000000000004,0.09208036993779513,125730.0,0.19915544973848195,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Maintenance and repair workers, general",588700.0,0.27916953403859074,74675.0,0.18181977551496936,23200.0,0.11988016737131575,168200.0,0.2664276357751743,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",Automotive service technicians and mechanics,757706.0000000001,0.359314474194402,90486.0,0.2203166281519587,32904.00000000001,0.17002314772352473,277856.0,0.4401219807725733,2023
2024,"Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations",all,4082533.0,1.9359925858793443,480298.0,1.1694365522636592,142129.0,0.734415875358523,1156636.0,1.8321034181477676,2023
2024,"Management,  professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,7687485.0,3.6455097764203424,1074060.0000000002,2.6151369010995387,835380.0,4.316616130114213,1084005.0,1.717056416875552,2023
2024,"Management,  professional, and related occupations","Management, business, and financial operations occupations",Management occupations,16732170.000000002,7.934622222446895,1879787.0,4.576932713169839,1425333.0000000002,7.365049939649121,2540811.0000000005,4.024627037345758,2023
2024,"Management,  professional, and related occupations","Management, business, and financial operations occupations",all,24420395.999999996,11.580483391129375,2968393.9999999995,7.227488861332199,2264548.0000000005,11.701482468119757,3611036.0000000005,5.719856029601917,2023
2024,Sales and office occupations,Office and administrative support occupations,"Meter readers, utilities",,,,,,,,,2023
2024,Sales and office occupations,Office and administrative support occupations,Proofreaders and copy markers,,,,,,,,,2023
2024,Sales and office occupations,Office and administrative support occupations,New accounts clerks,,,,,,,,,2023
2024,Sales and office occupations,Office and administrative support occupations,Legal secretaries and administrative assistants,,,,,,,,,2023
2024,Sales and office occupations,Office and administrative support occupations,Cargo and freight agents,,,,,,,,,2023
2024,Sales and office occupations,Office and administrative support occupations,"Office machine operators, except computer",,,,,,,,,2023
2024,Sales and office occupations,Office and administrative support occupations,"Mail clerks and mail machine operators, except postal service",,,,,,,,,2023
2024,Sales and office occupations,Office and administrative support occupations,Statistical assistants,,,,,,,,,2023
2024,Sales and office occupations,Office and administrative support occupations,Gambling cage workers,,,,,,,,,2023
2024,Sales and office occupations,Office and administrative support occupations,"Postal service mail sorters, processors, and processing machine operators",,,,,,,,,2023
2024,Sales and office occupations,Office and administrative support occupations,"Switchboard operators, including answering service",,,,,,,,,2023
2024,Sales and office occupations,Office and administrative support occupations,"Credit authorizers, checkers, and clerks",,,,,,,,,2023
2024,Sales and office occupations,Office and administrative support occupations,Correspondence clerks,,,,,,,,,2023
2024,Sales and office occupations,Office and administrative support occupations,"Communications equipment operators, all other",,,,,,,,,2023
2024,Sales and office occupations,Office and administrative support occupations,Procurement clerks,,,,,,,,,2023
2024,Sales and office occupations,Office and administrative support occupations,Brokerage clerks,,,,,,,,,2023
2024,Sales and office occupations,Office and administrative support occupations,Word processors and typists,,,,,,,,,2023
2024,Sales and office occupations,Office and administrative support occupations,Desktop publishers,,,,,,,,,2023
2024,Sales and office occupations,Office and administrative support occupations,Telephone operators,,,,,,,,,2023
2024,Sales and office occupations,Office and administrative support occupations,"Eligibility interviewers, government programs",50540.0,0.023966754289638823,21356.000000000004,0.05199789924201789,0.0,0.0,20140.0,0.03190162059757438,2023
2024,Sales and office occupations,Office and administrative support occupations,"Court, municipal, and license clerks",55573.99999999999,0.02635394544701994,14947.999999999998,0.03639560769196869,370.0,0.0019118819796287425,16354.0,0.025904622803015462,2023
2024,Sales and office occupations,Office and administrative support occupations,Public safety telecommunicators,68880.0,0.032663831331031304,6720.0,0.01636195368544485,400.0,0.002066899437436478,11760.0,0.018627758601165577,2023
2024,Sales and office occupations,Office and administrative support occupations,Loan interviewers and clerks,84864.00000000001,0.040243661179974466,14483.999999999998,0.035265853747021306,816.0,0.004216474852370416,10098.0,0.01599516210498044,2023
2024,Sales and office occupations,Office and administrative support occupations,"Weighers, measurers, checkers, and samplers, recordkeeping",49542.0,0.023493489137659015,17388.0,0.04233655516108855,1104.0,0.00570464244732468,14214.000000000002,0.022514877615388396,2023
2024,Sales and office occupations,Office and administrative support occupations,Bill and account collectors,73337.0,0.034777401253249754,34126.0,0.08309048087343615,2712.0,0.014013578185819324,21583.0,0.03418732260960515,2023
2024,Sales and office occupations,Office and administrative support occupations,"Hotel, motel, and resort desk clerks",60945.00000000001,0.028900946580570602,17000.0,0.04139184712091703,3740.0000000000005,0.019325509740031076,10115.0,0.01602208998731206,2023
2024,Sales and office occupations,Office and administrative support occupations,"Information and record clerks, all other",81312.0,0.038559254546875976,23184.0,0.05644874021478473,4368.0,0.022570541856806344,20720.0,0.03282033658300602,2023
2024,Sales and office occupations,Office and administrative support occupations,"Library assistants, clerical",46926.0,0.02225294641463378,9108.0,0.022176290798665427,4752.000000000001,0.02455476531674537,8844.0,0.01400883478475411,2023
2024,Sales and office occupations,Office and administrative support occupations,Medical secretaries and administrative assistants,69445.0,0.032931762003244325,6715.0,0.016349779612762228,5015.0,0.025913751696859846,19125.0,0.030293867623069015,2023
2024,Sales and office occupations,Office and administrative support occupations,Postal service clerks,46368.0,0.021988335237474732,36892.0,0.089825177881463,6164.0,0.031850920330896135,8096.000000000001,0.01282400796216297,2023
2024,Sales and office occupations,Office and administrative support occupations,Order clerks,75388.0,0.03575001330406196,8460.0,0.020598530978997533,6204.0,0.03205761027463978,24722.0,0.0391594768824843,2023
2024,Sales and office occupations,Office and administrative support occupations,File Clerks,90500.00000000001,0.04291632891199671,19125.0,0.04656582801103166,6250.0,0.032295303709944975,26750.0,0.04237181484533836,2023
2024,Sales and office occupations,Office and administrative support occupations,Payroll and timekeeping clerks,102960.0,0.04882503010805724,15600.0,0.037983106769782685,7800.0,0.04030453903001133,23400.0,0.037065438032931504,2023
2024,Sales and office occupations,Office and administrative support occupations,"Human resources assistants, except payroll and timekeeping",66495.0,0.03153283194478697,16833.000000000004,0.04098523309331744,7997.999999999999,0.04132765425154238,17019.0,0.02695797820010518,2023
2024,Sales and office occupations,Office and administrative support occupations,Reservation and transportation ticket agents and travel clerks,73476.0,0.03484331694074995,23048.999999999996,0.05612004025235391,9360.0,0.04836544683601359,27612.0,0.043737216878859175,2023
2024,Sales and office occupations,Office and administrative support occupations,"Interviewers, except eligibility and loan",112048.0,0.05313468311526416,54519.99999999999,0.13274608853131742,9588.0,0.04954357951535239,29328.0,0.04645534900127415,2023
2024,Sales and office occupations,Office and administrative support occupations,Insurance claims and policy processing clerks,215280.0,0.10208869931684697,65480.99999999999,0.1594340906661628,9867.0,0.050985241872964326,52923.0,0.08382966568448008,2023
2024,Sales and office occupations,Office and administrative support occupations,"Dispatchers, except police, fire, and ambulance",140352.0,0.06655682425918852,13072.0,0.03182789562144867,10836.0,0.055992305760154196,45580.0,0.07219840451029991,2023
2024,Sales and office occupations,Office and administrative support occupations,"Production, planning, and expediting clerks",181968.0,0.08629169656859907,24975.999999999996,0.060811927864236684,11596.000000000002,0.059919414691283514,30997.000000000004,0.0490990334490076,2023
2024,Sales and office occupations,Office and administrative support occupations,Tellers,170016.0,0.08062389587074067,35112.0,0.08549120800644933,13167.0,0.06803716223181527,40887.0,0.0647647249936953,2023
2024,Sales and office occupations,Office and administrative support occupations,Executive secretaries and executive administrative assistants,164268.00000000003,0.07789811621785499,45162.0,0.10996109409852088,13338.0,0.06892076174131938,43758.0,0.06931236912158191,2023
2024,Sales and office occupations,Office and administrative support occupations,Billing and posting clerks,302231.99999999994,0.14332251845006172,60760.0,0.1479393312392305,15288.0,0.0789968964988222,68992.0,0.10928285046017139,2023
2024,Sales and office occupations,Office and administrative support occupations,"Financial clerks, all other",108040.0,0.05123403509007872,18352.0,0.044683716374298195,15836.0,0.08182854872811018,29304.0,0.046417333167394215,2023
2024,Sales and office occupations,Office and administrative support occupations,Data entry keyers,161364.00000000003,0.07652099998403798,35708.0,0.08694235747021796,17176.0,0.08875266184352239,43618.0,0.06909061009061565,2023
2024,Sales and office occupations,Office and administrative support occupations,"Shipping, receiving, and inventory clerks",464654.0,0.22034523640082782,98693.0,0.24029915105321553,25746.0,0.13303598229059893,182674.0,0.2893543515909286,2023
2024,Sales and office occupations,Office and administrative support occupations,Postal service mail carriers,204866.99999999997,0.09715071331728208,65508.0,0.159499830658649,26265.000000000004,0.13571778431067277,27810.0,0.044050847508368594,2023
2024,Sales and office occupations,Office and administrative support occupations,"Office and administrative support workers, all other",557167.9999999999,0.26421663146120855,95494.0,0.23251017935087356,33746.0,0.1743739710393285,116316.0,0.1842437388990795,2023
2024,Sales and office occupations,Office and administrative support occupations,First-line supervisors of office and administrative support workers,961845.9999999999,0.45612043423965065,128088.00000000001,0.3118705243543542,49812.0,0.2573909869439647,180272.0,0.285549600216779,2023
2024,Sales and office occupations,Office and administrative support occupations,Couriers and messengers,608076.0,0.28835789634797027,192024.00000000003,0.4675428265615867,50673.0,0.2618399879830467,209804.0,0.3323280838060325,2023
2024,Sales and office occupations,Office and administrative support occupations,Receptionists and information clerks,933177.0,0.4425252051393409,164536.99999999997,0.4006170793961367,56447.0,0.29167568136244226,266622.0,0.42232740253060946,2023
2024,Sales and office occupations,Office and administrative support occupations,"Secretaries and administrative assistants, except legal, medical, and executive",1464414.0,0.6944450042799197,161736.0,0.3937971638793315,70320.0,0.3633609211013329,254909.99999999997,0.40377567559720373,2023
2024,Sales and office occupations,Office and administrative support occupations,"Bookkeeping, accounting, and auditing clerks",982737.0,0.4660272301214244,102941.99999999999,0.2506446780189082,74214.0,0.383482187124777,165186.0,0.26165348063708643,2023
2024,Sales and office occupations,Office and administrative support occupations,"Office clerks, general",935991.0,0.44385964215103546,176672.99999999997,0.43016598861139843,85204.0,0.4402702491683443,258118.00000000003,0.40885712539248775,2023
2024,Sales and office occupations,Office and administrative support occupations,Customer service representatives,1900304.0,0.9011499612904197,473760.0,1.1535177348238619,150024.0,0.7752113030049256,563248.0,0.8921809333834445,2023
2024,Sales and office occupations,Office and administrative support occupations,all,11972610.0,5.6775742397244295,2369250.0,5.768684340660745,821340.0000000001,4.244067959860193,2953665.0,4.678584915706779,2023
2024,Service occupations,Personal care and service occupations,"Embalmers, crematory operators, and funeral attendants",,,,,,,,,2023
2024,Service occupations,Personal care and service occupations,"Ushers, lobby attendants, and ticket takers",,,,,,,,,2023
2024,Service occupations,Personal care and service occupations,"Morticians, undertakers, and funeral arrangers",,,,,,,,,2023
2024,Service occupations,Personal care and service occupations,Residential advisors,,,,,,,,,2023
2024,Service occupations,Personal care and service occupations,Other personal appearance workers,,,,,,,,,2023
2024,Service occupations,Personal care and service occupations,Animal trainers,51408.0,0.024378371676330682,5165.999999999999,0.012578251895685726,1890.0,0.00976609984188736,8694.0,0.01377123582300455,2023
2024,Service occupations,Personal care and service occupations,Tour and travel guides,51071.99999999999,0.02421903591374028,969.0000000000001,0.002359335285892271,2223.0,0.011486793623553228,7410.0,0.011737388710428308,2023
2024,Service occupations,Personal care and service occupations,"Baggage porters, bellhops, and concierges",42687.0,0.02024275505266744,30456.0,0.07415471152439111,5346.0,0.02762411098133853,19683.0,0.03117773576077738,2023
2024,Service occupations,Personal care and service occupations,Skincare specialists,85078.0,0.040345142885910006,7828.0,0.01905972819191403,5562.000000000001,0.028740236677554237,21733.000000000004,0.03442492157135472,2023
2024,Service occupations,Personal care and service occupations,Recreation workers,114348.0,0.054225374347281766,25740.0,0.06267212617014144,5616.000000000001,0.029019268101608164,18876.0,0.02989945334656474,2023
2024,Service occupations,Personal care and service occupations,Barbers,89568.0,0.04247436185624001,46224.0,0.11254686713630993,6480.0,0.03348377088647095,52704.0,0.08348277120032573,2023
2024,Service occupations,Personal care and service occupations,"Personal care and service workers, all other",109792.0,0.05206485728072865,20148.0,0.04905664328189625,8175.999999999999,0.042247424501201614,22046.0,0.03492071140487213,2023
2024,Service occupations,Personal care and service occupations,Other entertainment attendants and related workers,153965.99999999997,0.0730127679255744,25929.0,0.06313230611754457,8240.999999999998,0.04258329565978504,34170.0,0.05412504348654998,2023
2024,Service occupations,Personal care and service occupations,Exercise trainers and group fitness instructors,201102.0,0.0953652991918272,22264.0,0.054208710841182166,8712.000000000002,0.04501706974736651,48400.0,0.07666526499119165,2023
2024,Service occupations,Personal care and service occupations,Animal caretakers,279892.0,0.13272858709211693,29392.000000000004,0.07156406885752903,9351.999999999998,0.04832410884726485,41082.00000000001,0.06507360364396976,2023
2024,Service occupations,Personal care and service occupations,Gambling services workers,52080.00000000001,0.024697043201511476,10695.0,0.026040341468129863,20925.0,0.10812467682089577,10974.0,0.017382740041597875,2023
2024,Service occupations,Personal care and service occupations,"Hairdressers, hairstylists, and cosmetologists",556842.0,0.2640620378344096,99461.99999999999,0.24217152343180287,37026.0,0.19132254642630764,153186.00000000003,0.24264556369712165,2023
2024,Service occupations,Personal care and service occupations,Supervisors of personal care and service workers,156816.0,0.07436427662611796,33880.0,0.08249151649745111,42592.00000000001,0.22008345209823627,35090.0,0.055582317118613944,2023
2024,Service occupations,Personal care and service occupations,Childcare workers,724224.0,0.34343685513770056,156456.0,0.38094134312648203,57071.99999999999,0.2949052117334367,245016.0,0.38810364808020276,2023
2024,Service occupations,Personal care and service occupations,Manicurists and pedicurists,70452.0,0.033409295077436375,28737.000000000004,0.06996926533610547,200541.0,1.036245200207372,41406.0,0.0655868174013488,2023
2024,Service occupations,Personal care and service occupations,all,2858775.0,1.3556699247004793,579865.0000000001,1.4118637312217974,429830.0,2.2210384629833038,786669.9999999999,1.2460798349301803,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Miscellaneous plant and system operators,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,"Woodworking machine setters, operators, and tenders, except sawing",,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,"Other textile, apparel, and furnishings workers",,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,"Pressers, textile, garment, and related materials",,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,"Food and tobacco roasting, baking, and drying machine operators and tenders",,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,"Model makers and patternmakers, metal and plastic",,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Etchers and engravers,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,"Furnace, kiln, oven, drier, and kettle operators and tenders",,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Print binding and finishing workers,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Shoe and leather workers,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Upholsterers,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Engine and other machine assemblers,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Food cooking machine operators and tenders,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,"Paper goods machine setters, operators, and tenders",,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Adhesive bonding machine operators and tenders,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,"Molders and molding machine setters, operators, and tenders, metal and plastic",,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,"Power plant operators, distributors, and dispatchers",,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Tire builders,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Prepress technicians and workers,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Structural metal fabricators and fitters,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,"Other machine tool setters, operators, and tenders, metal and plastic",,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,"Sawing machine setters, operators, and tenders, wood",,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Photographic process workers and processing machine operators,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,"Metal furnace operators, tenders, pourers, and casters",,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Furniture finishers,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,"Aircraft structure, surfaces, rigging, and systems assemblers",,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,"Forming machine setters, operators, and tenders, metal and plastic",,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,"Textile machine setters, operators, and tenders",,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Other production equipment operators and tenders,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Jewelers and precious stone and metal workers,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,"Chemical processing machine setters, operators, and tenders",,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,"Molders, shapers, and casters, except metal and plastic",,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Cabinetmakers and bench carpenters,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Other woodworkers,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Tool and die makers,,,,,,,,,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Water and wastewater treatment plant and system operators,96406.99999999999,0.04571750852396537,8881.0,0.02162358789887436,107.0,0.000552895599514258,16692.0,0.026440012463491137,2023
2024,"Production, transportation, and material moving occupations",Production occupations,Food batchmakers,75852.0,0.03597004840478203,14504.000000000002,0.0353145500377518,2352.0,0.012153368692126493,29302.0,0.04641416518123755,2023
2024,"Production, transportation, and material moving occupations",Production occupations,"Crushing, grinding, polishing, mixing, and blending workers",62074.0,0.029436333711417496,14349.999999999998,0.03493958859912702,2460.0,0.012711431540234344,24764.0,0.03922600459177417,2023
